Move,mean,max,min
371,4755.0,4830,4680
372,4767.0,4838,4696
373,4771.0,4842,4700
374,4775.0,4842,4708
375,4793.0,4878,4708
376,4795.0,4878,4712
377,4797.0,4882,4712
378,4806.0,4892,4720
379,4808.0,4892,4724
380,4732.0,4732,4732
381,4748.0,4748,4748
382,4748.0,4748,4748
383,4752.0,4752,4752
384,4752.0,4752,4752
385,4752.0,4752,4752
386,4760.0,4760,4760
387,4768.0,4768,4768
388,4768.0,4768,4768
389,4772.0,4772,4772
390,4772.0,4772,4772
391,4772.0,4772,4772
392,4784.0,4784,4784
393,4788.0,4788,4788
394,4796.0,4796,4796
395,4816.0,4816,4816
396,4848.0,4848,4848
397,4852.0,4852,4852
398,4860.0,4860,4860
399,4864.0,4864,4864
400,4864.0,4864,4864
401,4866.0,4866,4866
402,4878.0,4878,4878
403,4886.0,4886,4886
404,4898.0,4898,4898
405,4906.0,4906,4906
406,4918.0,4918,4918
407,4950.0,4950,4950
408,5014.0,5014,5014
409,5018.0,5018,5018
410,5022.0,5022,5022
411,5022.0,5022,5022
412,5022.0,5022,5022
413,5026.0,5026,5026
414,5026.0,5026,5026
415,5026.0,5026,5026
416,5028.0,5028,5028
417,5036.0,5036,5036
418,5052.0,5052,5052
419,5056.0,5056,5056
420,5060.0,5060,5060
421,5068.0,5068,5068
