Move,Score,Matrix,Direction
2,24,"[2, 4, 32, 4, 0, 0, 8, 8, 0, 0, 8, 4, 2, 0, 0, 0]",up
3,40,"[2, 4, 32, 4, 16, 0, 0, 0, 8, 4, 0, 2, 2, 0, 0, 0]",left
4,48,"[2, 0, 0, 2, 16, 0, 0, 0, 8, 0, 0, 4, 2, 8, 32, 2]",down
5,52,"[0, 0, 4, 4, 0, 0, 0, 16, 0, 0, 8, 4, 2, 8, 32, 2]",right
6,60,"[8, 0, 0, 0, 16, 0, 0, 0, 8, 4, 0, 2, 2, 8, 32, 2]",left
7,64,"[8, 4, 32, 4, 16, 8, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0]",up
8,64,"[8, 4, 32, 4, 0, 16, 8, 2, 0, 2, 0, 8, 0, 0, 0, 2]",right
9,64,"[0, 0, 2, 4, 0, 4, 0, 2, 0, 16, 32, 8, 8, 2, 8, 2]",down
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]",up
2,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0]",left
3,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4]",right
4,12,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 8]",down
5,12,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 8]",right
6,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 4, 8]",down
1,0,"[2, 0, 2, 2, 2, 0, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up
2,4,"[4, 2, 0, 4, 2, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
3,4,"[0, 0, 0, 0, 0, 0, 2, 0, 4, 2, 0, 0, 2, 4, 8, 4]",down
4,4,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 4, 2, 2, 4, 8, 4]",right
5,8,"[0, 0, 0, 0, 4, 0, 0, 2, 4, 2, 0, 0, 2, 4, 8, 4]",left
6,16,"[8, 2, 8, 2, 2, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2]",up
7,24,"[8, 2, 8, 2, 0, 0, 2, 8, 0, 0, 0, 0, 0, 0, 2, 2]",right
8,28,"[8, 2, 8, 2, 2, 8, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0]",left
9,28,"[0, 0, 0, 0, 8, 2, 0, 0, 2, 2, 8, 0, 4, 8, 2, 2]",down
10,36,"[0, 0, 0, 0, 0, 2, 8, 2, 0, 0, 4, 8, 0, 4, 8, 4]",right
11,36,"[0, 0, 0, 0, 2, 8, 2, 0, 4, 8, 2, 0, 4, 8, 4, 0]",left
12,36,"[0, 0, 0, 0, 0, 2, 8, 2, 4, 4, 8, 2, 0, 4, 8, 4]",right
13,60,"[4, 2, 16, 2, 0, 8, 8, 2, 0, 0, 0, 4, 0, 0, 2, 0]",up
1,0,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up
2,0,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]",right
3,0,"[2, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left
4,4,"[4, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
5,12,"[0, 0, 8, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right
6,16,"[8, 2, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
7,16,"[0, 8, 2, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0]",right
8,16,"[8, 2, 4, 0, 4, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left
9,16,"[2, 8, 2, 4, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 2]",right
