Move,mean,max,min
280,3805.686868686869,4174,2874
281,3817.7272727272725,4182,3002
282,3825.959595959596,4200,3002
283,3839.191919191919,4200,3136
284,3847.909090909091,4200,3144
285,3855.4848484848485,4200,3156
286,3866.080808080808,4200,3422
287,3873.7070707070707,4208,3422
288,3880.3030303030305,4216,3422
289,3887.6464646464647,4220,3434
290,3894.969696969697,4226,3450
291,3901.3939393939395,4226,3458
292,3909.1717171717173,4226,3466
293,3917.6464646464647,4278,3470
294,3925.787878787879,4286,3502
295,3934.313131313131,4290,3502
296,3945.040404040404,4298,3572
297,3955.747474747475,4420,3578
298,3966.989898989899,4424,3582
299,3978.6969696969695,4428,3584
300,3990.5858585858587,4430,3592
301,4005.373737373737,4434,3600
302,4022.1111111111113,4438,3604
303,4039.6363636363635,4440,3620
304,4056.212121212121,4446,3620
305,4072.4545454545455,4466,3620
306,4087.1111111111113,4474,3656
307,4102.636363636364,4490,3656
308,4119.848484848485,4504,3662
309,4137.939393939394,4528,3662
310,4153.707070707071,4528,3700
311,4168.575757575758,4536,3724
312,4184.515151515152,4540,3724
313,4196.040404040404,4544,3728
314,4211.525252525253,4558,3728
315,4223.121212121212,4558,3744
316,4236.333333333333,4558,3744
317,4247.080808080808,4562,3748
318,4257.20202020202,4566,3870
319,4265.343434343435,4568,3890
320,4272.353535353535,4594,3902
321,4280.838383838384,4610,3902
322,4288.515151515152,4612,3902
323,4296.434343434344,4612,3910
324,4305.363636363636,4644,3910
325,4315.676767676768,4644,3912
326,4325.555555555556,4644,3928
327,4335.727272727273,4654,3944
328,4344.878787878788,4664,3948
329,4355.353535353535,4678,3958
330,4366.272727272727,4706,3966
331,4377.040404040404,4718,3984
332,4384.606060606061,4746,3984
333,4394.272727272727,4752,3984
334,4406.121212121212,4776,4004
335,4415.818181818182,4780,4016
336,4426.313131313132,4800,4024
337,4436.373737373738,4800,4024
338,4445.323232323232,4800,4024
339,4455.707070707071,4836,4058
340,4465.858585858586,4836,4058
341,4475.19191919192,4836,4062
342,4486.040404040404,4848,4080
343,4496.121212121212,4848,4090
344,4504.323232323232,4856,4090
345,4512.050505050505,4864,4098
346,4520.131313131313,4880,4106
347,4527.171717171717,4880,4126
348,4535.272727272727,4880,4140
349,4542.828282828283,4888,4150
350,4549.363636363636,4890,4152
351,4556.252525252526,4890,4152
352,4564.262626262626,4900,4152
353,4574.292929292929,4900,4156
354,4582.888888888889,4960,4168
355,4593.474747474747,5092,4180
356,4607.949494949495,5124,4190
357,4624.262626262626,5222,4198
358,4639.383838383838,5376,4202
359,4653.323232323232,5376,4206
360,4671.424242424242,5376,4206
361,4693.340101522843,5380,4214
362,4717.908629441625,5384,4230
363,4747.106598984771,5388,4266
364,4769.918781725888,5390,4266
365,4793.837563451777,5398,4270
366,4809.502538071066,5402,4270
367,4827.989847715736,5418,4274
368,4849.807106598984,5490,4274
369,4876.395939086295,5498,4282
370,4895.756345177665,5498,4290
371,4919.918781725888,5498,4294
372,4943.035532994923,5498,4294
373,4966.602040816327,5502,4298
374,4993.959183673469,5538,4314
375,5015.897959183673,5538,4314
376,5034.882051282051,5540,4318
377,5052.502564102564,5552,4318
378,5070.492307692308,5564,4326
379,5085.097435897436,5566,4334
380,5103.05641025641,5566,4338
381,5116.215384615384,5570,4362
382,5128.266666666666,5578,4410
383,5147.128205128205,5588,4444
384,5157.558974358974,5592,4444
385,5179.19587628866,5592,4540
386,5194.876288659794,5592,4540
387,5208.144329896907,5600,4540
388,5222.680412371134,5614,4624
389,5231.969072164949,5628,4624
390,5248.652849740933,5644,4734
391,5261.709844559586,5648,4752
392,5274.114583333333,5720,4776
393,5286.21875,5720,4784
394,5299.25,5740,4790
395,5309.614583333333,5744,4790
396,5321.675392670157,5752,4792
397,5329.424083769633,5752,4796
398,5339.706806282723,5754,4812
399,5348.020942408377,5766,4816
400,5356.984293193717,5774,4824
401,5365.685863874345,5790,4824
402,5373.015706806283,5794,4828
403,5383.434554973822,5796,4844
404,5392.282722513089,5828,4880
405,5402.104712041885,5828,4896
406,5410.7434554973825,5832,4896
407,5420.115183246074,5842,4900
408,5428.282722513089,5850,4910
409,5436.659685863874,5864,4982
410,5445.633507853403,5864,4990
411,5454.293193717277,5866,4994
412,5462.649214659686,5866,4994
413,5472.041884816754,5874,4996
414,5482.314136125655,5998,4996
415,5492.848167539267,5998,4996
416,5503.821989528796,6002,4998
417,5514.5968586387435,6006,5006
418,5528.994764397906,6022,5038
419,5542.61780104712,6032,5038
420,5554.701570680629,6032,5038
421,5569.852631578948,6032,5042
422,5583.9473684210525,6032,5042
423,5599.863157894737,6032,5058
424,5613.863157894737,6036,5088
425,5628.957894736842,6044,5096
426,5645.642105263158,6060,5104
427,5660.708994708994,6078,5132
428,5675.617021276596,6104,5140
429,5687.904255319149,6108,5144
430,5702.510638297872,6108,5144
431,5716.202127659574,6116,5144
432,5729.563829787234,6170,5148
433,5738.648936170212,6194,5152
434,5751.595744680851,6198,5164
435,5763.797872340426,6198,5172
436,5776.148936170212,6202,5172
437,5786.553191489362,6206,5176
438,5797.223404255319,6206,5196
439,5806.925531914893,6206,5196
440,5817.106382978724,6212,5202
441,5827.265957446809,6218,5250
442,5834.127659574468,6238,5318
443,5844.978723404255,6238,5366
444,5854.81914893617,6270,5386
445,5863.670212765957,6270,5386
446,5872.010638297872,6274,5390
447,5883.978723404255,6286,5390
448,5895.425531914893,6286,5394
449,5904.513368983958,6290,5402
450,5915.860962566845,6308,5402
451,5927.786096256685,6312,5410
452,5939.893048128342,6316,5418
453,5949.475935828877,6338,5426
454,5958.363636363636,6338,5426
455,5967.561497326204,6338,5426
456,5978.720430107527,6342,5430
457,5987.225806451613,6354,5430
458,5996.358695652174,6356,5466
459,6006.673913043478,6372,5478
460,6016.358695652174,6452,5482
461,6025.29347826087,6452,5498
462,6032.983606557377,6452,5500
463,6042.459016393443,6452,5504
464,6052.10989010989,6454,5576
465,6060.186813186813,6454,5580
466,6070.232044198895,6562,5584
467,6079.39226519337,6566,5584
468,6091.381215469613,7078,5584
469,6104.331491712707,8102,5584
470,6113.9,8106,5588
471,6127.488888888889,8108,5596
472,6143.832402234637,8108,5612
473,6159.853932584269,8120,5648
474,6179.887640449439,8356,5648
475,6197.234285714286,8360,5652
476,6213.748571428571,8364,5664
477,6237.885057471264,8364,5672
478,6273.83908045977,8386,5692
479,6315.894117647059,8396,5692
480,6336.388235294117,8396,5696
481,6369.423529411764,8400,5716
482,6403.164705882353,8430,5724
483,6455.7764705882355,8450,5728
484,6499.75,8458,5728
485,6541.964285714285,8460,5732
486,6588.523809523809,8462,5736
487,6635.726190476191,8478,5740
488,6678.862275449102,8478,5756
489,6745.018181818182,8482,5820
490,6804.878048780488,8488,5960
491,6864.453987730061,8508,5964
492,6939.900621118012,8526,5966
493,7023.006369426752,8546,5970
494,7092.0,8546,5982
495,7170.211920529801,8556,5990
496,7222.5503355704695,8560,5992
497,7295.306122448979,8562,6000
498,7334.625850340136,8568,6018
499,7377.86301369863,8578,6020
500,7439.45205479452,8598,6024
501,7528.479452054795,8598,6032
502,7576.054794520548,8598,6032
503,7631.3835616438355,8670,6036
504,7670.151724137931,8674,6040
505,7722.458333333333,8682,6060
506,7763.888111888112,8702,6064
507,7791.804195804196,8710,6080
508,7852.992907801418,8726,6084
509,7893.957142857143,8758,6088
510,7906.385714285714,8762,6088
511,7933.237410071943,8762,6092
512,7962.63309352518,8762,6096
513,7974.73381294964,8770,6104
514,7998.690647482014,8786,6120
515,8040.492753623188,8786,6348
516,8051.521739130435,8786,6364
517,8079.811594202899,8814,6364
518,8096.115942028986,8814,6372
519,8110.869565217391,8818,6376
520,8126.246376811594,8818,6392
521,8157.795620437956,8818,6534
522,8170.934306569343,8822,6542
523,8192.554744525547,8826,6558
524,8201.153284671533,8834,6564
525,8222.39705882353,8854,6576
526,8230.838235294117,8870,6576
527,8252.474074074074,8898,6858
528,8264.992592592593,8910,6960
529,8275.111111111111,8978,6960
