Move,mean,max,min
494,7094.69696969697,8602,5974
495,7160.59375,8618,5990
496,7206.444444444444,8654,6008
497,7245.650793650793,8654,6012
498,7336.466666666666,8656,6022
499,7361.533333333334,8676,6022
500,7421.766666666666,8832,6022
501,7444.6,8896,6024
502,7498.866666666667,8904,6028
503,7553.559322033899,8912,6204
504,7589.661016949152,8916,6216
505,7616.9152542372885,8920,6232
506,7648.135593220339,8920,6250
507,7686.440677966101,8928,6250
508,7734.586206896552,8948,6250
509,7756.275862068966,8956,6250
510,7773.3448275862065,8964,6254
511,7809.413793103448,8964,6330
512,7867.620689655172,8968,6338
513,7908.912280701755,8968,6338
514,7967.403508771929,8972,6338
515,7990.315789473684,9008,6350
516,8023.892857142857,9020,6350
517,8060.607142857143,9036,6486
518,8071.607142857143,9044,6492
519,8081.714285714285,9048,6520
520,8131.272727272727,9052,6526
521,8161.163636363636,9068,6590
522,8172.836363636364,9100,6594
523,8192.581818181818,9164,6614
524,8214.4,9172,6614
525,8272.22641509434,9300,6616
526,8316.961538461539,9300,6618
527,8385.29411764706,9312,6624
528,8415.725490196079,9316,6632
529,8443.490196078432,9316,6904
530,8473.176470588236,9316,6904
531,8481.56862745098,9316,6908
532,8516.84,9320,6908
533,8535.44,9324,6932
534,8551.88,9336,7060
535,8568.2,9360,7150
536,8583.64,9360,7154
537,8625.76,9360,7154
538,8654.0,9368,7154
539,8662.96,9372,7154
540,8676.24,9376,7162
541,8689.08,9376,7174
542,8704.2,9384,7178
543,8713.72,9386,7190
544,8725.96,9418,7192
545,8757.08,9422,7200
546,8772.16,9446,7204
547,8799.44,9454,7576
548,8826.6,9458,7578
549,8843.28,9458,7594
550,8855.92,9462,7594
551,8867.04,9462,7594
552,8882.32,9482,7598
553,8898.72,9482,7610
554,8911.04,9482,7634
555,8940.08,9482,7638
556,8949.84,9488,7646
557,8970.96,9488,8174
558,8983.52,9528,8174
559,9017.68,9528,8330
560,9025.48,9528,8332
561,9038.12,9532,8368
562,9050.6,9600,8368
563,9062.68,9608,8368
564,9073.16,9612,8372
565,9092.48,9628,8384
566,9106.28,9632,8386
567,9117.4,9648,8386
568,9123.84,9650,8390
569,9130.56,9662,8394
570,9139.2,9662,8414
571,9145.64,9686,8446
572,9150.92,9688,8458
573,9159.84,9690,8466
574,9174.24,9714,8466
575,9182.96,9714,8470
576,9191.6,9714,8470
577,9204.64,9718,8470
578,9213.6,9726,8482
579,9221.32,9734,8484
580,9230.52,9746,8488
581,9246.56,9746,8496
582,9257.36,9746,8512
583,9273.08,9766,8548
584,9284.36,9768,8620
585,9302.448979591836,9808,8620
586,9315.918367346938,10042,8624
587,9324.734693877552,10042,8624
588,9343.959183673469,10050,8624
589,9365.387755102041,10050,8632
590,9381.877551020409,10054,8640
591,9397.959183673469,10074,8656
592,9405.183673469388,10090,8696
593,9415.020408163266,10130,8768
594,9430.65306122449,10146,8772
595,9447.673469387755,10150,8778
596,9466.326530612245,10158,8786
597,9483.836734693878,10162,8790
598,9506.040816326531,10170,8790
599,9527.510204081633,10186,8790
600,9560.958333333334,10222,8836
601,9589.416666666666,10286,8836
602,9622.416666666666,10352,8840
603,9646.63829787234,10360,8848
604,9678.297872340425,10360,8864
605,9692.297872340425,10360,8876
606,9716.170212765957,10364,8882
607,9737.234042553191,10424,8896
608,9758.63829787234,10440,8906
609,9767.446808510638,10440,8918
610,9773.148936170213,10472,8918
611,9790.510638297872,10504,8936
612,9806.255319148937,10508,8944
613,9828.808510638299,10512,8946
614,9860.297872340425,10524,8946
615,9876.851063829787,10524,8958
616,9901.617021276596,10532,8958
617,9911.531914893618,10540,8970
618,9921.446808510638,10564,8970
619,9937.91489361702,10564,8986
620,9948.978723404256,10568,8988
621,9961.787234042553,10568,8990
622,9969.872340425532,10572,8998
623,9980.765957446809,10580,9014
624,9998.0,10580,9018
625,10005.36170212766,10588,9018
626,10015.27659574468,10604,9018
627,10024.68085106383,10636,9022
628,10038.425531914894,10640,9026
629,10051.021276595744,10640,9030
630,10060.170212765957,10640,9034
631,10067.148936170213,10644,9038
632,10102.08695652174,10660,9368
633,10112.347826086956,10664,9404
634,10120.608695652174,10664,9404
635,10133.434782608696,10664,9468
636,10143.130434782608,10666,9472
637,10154.478260869566,10694,9510
638,10164.521739130434,10698,9512
639,10178.260869565218,10700,9548
640,10194.521739130434,10716,9548
641,10202.391304347826,10716,9560
642,10209.304347826086,10720,9568
643,10216.521739130434,10720,9568
644,10224.130434782608,10720,9568
645,10234.08888888889,10720,9588
646,10245.333333333334,10722,9604
647,10256.08888888889,10734,9608
648,10267.022222222222,10818,9610
649,10276.622222222222,10818,9610
650,10288.222222222223,10822,9618
651,10297.955555555556,10822,9618
652,10309.155555555555,10826,9630
653,10323.244444444445,10834,9662
654,10332.755555555555,10846,9662
655,10340.222222222223,10850,9666
656,10351.511111111111,10850,9678
657,10361.511111111111,10854,9738
658,10372.266666666666,10858,9738
659,10382.622222222222,10860,9738
660,10391.955555555556,10878,9750
661,10402.666666666666,10880,9758
662,10419.866666666667,10882,9758
663,10439.466666666667,10918,9758
664,10450.533333333333,10926,9798
665,10465.066666666668,10926,9838
666,10477.955555555556,10992,9838
667,10489.333333333334,10996,9906
668,10499.777777777777,11020,9940
669,10509.5,11024,9980
670,10519.818181818182,11060,9984
671,10538.454545454546,11060,9984
672,10552.454545454546,11060,9992
673,10566.136363636364,11064,10000
674,10579.363636363636,11064,10000
675,10588.0,11064,10020
676,10598.318181818182,11068,10028
677,10612.045454545454,11074,10032
678,10623.116279069767,11082,10048
