Move,mean,max,min
152,1499.7275985663082,1990,1144
153,1514.8779599271402,1998,1156
154,1532.126159554731,2002,1156
155,1546.9565217391305,2002,1168
156,1563.5884615384616,2066,1170
157,1579.4,2070,1170
158,1597.140562248996,2074,1208
159,1616.183299389002,2078,1216
160,1637.4864300626305,2096,1218
161,1656.76008492569,2096,1222
162,1672.119914346895,2100,1230
163,1687.7700650759218,2106,1234
164,1702.8533916849015,2130,1258
165,1723.291759465479,2130,1264
166,1741.1981776765376,2158,1266
167,1757.5045871559632,2182,1274
168,1772.7255813953489,2214,1278
169,1783.5093457943926,2230,1282
170,1798.3333333333333,2234,1294
171,1809.2757793764988,2238,1326
172,1823.1642512077294,2242,1340
173,1835.0634146341463,2242,1344
174,1847.8271604938273,2250,1348
175,1857.785536159601,2266,1352
176,1872.1608040201006,2302,1400
177,1884.777493606138,2310,1402
178,1895.9278350515465,2326,1410
179,1907.217616580311,2330,1418
180,1919.3157894736842,2334,1474
181,1932.4574468085107,2334,1484
182,1945.5603217158177,2338,1488
183,1954.9100817438691,2346,1492
184,1964.3434903047091,2350,1500
185,1975.9101123595506,2350,1508
186,1987.8243626062324,2362,1524
187,1997.902857142857,2404,1572
188,2008.9854227405249,2408,1572
189,2021.6745562130177,2412,1576
190,2034.3975903614457,2412,1584
191,2043.8963414634147,2428,1588
192,2054.8024691358023,2432,1618
193,2065.2351097178685,2432,1622
194,2077.539432176656,2502,1630
195,2087.1238095238095,2506,1638
196,2098.3833865814695,2510,1638
197,2109.813504823151,2522,1642
198,2117.467105263158,2562,1650
199,2128.684745762712,2562,1666
200,2142.8541666666665,2576,1674
201,2155.5516014234877,2580,1690
202,2169.875457875458,2588,1690
203,2182.6740740740743,2608,1694
204,2192.902255639098,2620,1702
205,2204.1526717557254,2628,1706
206,2217.673151750973,2628,1710
207,2230.490118577075,2648,1710
208,2243.6305220883532,2680,1794
209,2258.1481481481483,2684,1802
210,2268.8264462809916,2684,1858
211,2283.212121212121,2688,1862
212,2297.785714285714,2698,1862
213,2311.063063063063,2716,1870
214,2326.9116279069767,2720,1886
