Move,mean,max,min
207,2483.128712871287,2692,2154
208,2495.52,2692,2168
209,2508.9690721649486,2692,2172
210,2526.1894736842105,2724,2176
211,2544.2580645161293,2804,2274
212,2561.5227272727275,2808,2286
213,2571.5632183908046,2816,2306
214,2582.2093023255816,2820,2306
215,2594.9638554216867,2820,2306
216,2605.609756097561,2824,2310
217,2619.225,2832,2318
218,2628.4615384615386,2832,2322
219,2638.657894736842,2836,2322
220,2649.9189189189187,2840,2348
221,2664.246575342466,2860,2348
222,2682.4285714285716,2876,2356
223,2694.1714285714284,2892,2372
224,2707.072463768116,2892,2376
225,2720.4411764705883,2896,2376
226,2735.242424242424,2896,2388
227,2743.9076923076923,2900,2396
228,2758.3548387096776,2936,2400
229,2765.8333333333335,2936,2400
230,2774.9830508474574,2938,2442
231,2786.9830508474574,2946,2454
232,2799.8275862068967,2954,2454
233,2818.9454545454546,2960,2470
234,2828.981818181818,2964,2478
235,2842.074074074074,2990,2482
236,2859.3584905660377,3002,2646
237,2870.08,3002,2654
238,2878.1632653061224,3002,2674
239,2888.2127659574467,3006,2684
240,2902.8888888888887,3016,2700
241,2912.5777777777776,3048,2718
242,2930.2380952380954,3052,2718
243,2955.189189189189,3052,2806
244,2965.722222222222,3056,2810
245,2971.222222222222,3068,2818
246,2983.722222222222,3084,2838
247,2996.9714285714285,3158,2846
248,3004.285714285714,3166,2862
249,3011.1612903225805,3170,2862
250,3023.3333333333335,3182,2908
251,3030.0666666666666,3190,2912
252,3047.793103448276,3222,2934
253,3058.8571428571427,3238,2948
254,3068.8,3242,2952
255,3075.68,3250,2954
256,3084.32,3258,2958
257,3097.8333333333335,3258,2966
258,3106.0,3258,2966
259,3118.3809523809523,3262,2970
260,3133.4,3262,3026
261,3140.4,3262,3026
262,3167.4736842105262,3522,3042
263,3192.6666666666665,3532,3064
264,3247.777777777778,4064,3080
265,3286.125,4096,3084
266,3338.9333333333334,4126,3088
267,3347.285714285714,4134,3092
268,3373.076923076923,4134,3100
269,3380.4615384615386,4138,3116
270,3400.0,4142,3148
271,3433.2727272727275,4142,3168
272,3466.2,4142,3202
273,3470.4,4144,3202
274,3493.777777777778,4160,3202
275,3562.222222222222,4216,3206
276,3611.5,4240,3214
277,3638.5,4280,3232
278,3823.0,4288,3274
279,3927.6666666666665,4308,3314
280,3931.0,4308,3318
281,3938.3333333333335,4312,3322
282,3945.0,4320,3330
283,3963.0,4320,3330
284,4105.6,4336,3334
285,4113.6,4340,3342
286,4120.8,4348,3346
287,4138.4,4368,3354
288,4143.2,4368,3370
289,4162.4,4394,3410
290,4186.4,4398,3494
291,4194.4,4412,3494
292,4202.4,4412,3526
293,4203.2,4412,3526
294,4203.6,4412,3528
295,4207.6,4416,3536
296,4168.5,4420,3544
297,4171.5,4424,3544
298,4185.5,4432,3548
299,4198.5,4456,3548
300,4203.0,4460,3552
301,4207.0,4462,3556
302,4232.0,4470,3564
303,4238.0,4470,3584
