Move,Score,Matrix,Previous_Move
10,24,"[0, 2, 4, 4, 0, 0, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0]",right,8
11,36,"[2, 8, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0]",left,8
12,36,"[0, 0, 0, 0, 2, 0, 0, 0, 8, 8, 0, 2, 4, 2, 0, 0]",down,8
13,52,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 16, 2, 0, 0, 4, 2]",right,16
14,60,"[0, 2, 16, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
15,68,"[2, 2, 16, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
16,68,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 16, 0, 2, 2, 4, 8]",down,16
17,72,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 16, 0, 4, 4, 8]",right,16
18,72,"[0, 4, 2, 2, 0, 0, 4, 16, 0, 0, 0, 8, 2, 0, 0, 0]",up,16
19,76,"[0, 0, 4, 4, 0, 2, 4, 16, 0, 0, 0, 8, 0, 0, 0, 2]",right,16
20,84,"[2, 2, 8, 4, 0, 0, 0, 16, 0, 0, 0, 8, 0, 0, 0, 2]",up,16
21,88,"[4, 8, 4, 0, 16, 0, 0, 0, 8, 0, 0, 0, 2, 2, 0, 0]",left,16
22,88,"[4, 0, 0, 0, 16, 0, 0, 2, 8, 8, 0, 0, 2, 2, 4, 0]",down,16
23,108,"[0, 2, 0, 4, 0, 0, 16, 2, 0, 0, 0, 16, 0, 0, 4, 4]",right,16
24,116,"[0, 0, 2, 4, 0, 0, 16, 2, 0, 0, 0, 16, 2, 0, 0, 8]",right,16
25,116,"[0, 0, 2, 4, 0, 0, 16, 2, 0, 2, 0, 16, 0, 0, 2, 8]",right,16
26,116,"[0, 2, 2, 4, 0, 0, 16, 2, 2, 0, 2, 16, 0, 0, 0, 8]",up,16
27,124,"[4, 4, 2, 0, 16, 2, 0, 0, 4, 16, 0, 0, 8, 0, 0, 0]",left,16
28,132,"[0, 0, 8, 2, 0, 2, 16, 2, 0, 0, 4, 16, 0, 0, 0, 8]",right,16
29,136,"[0, 2, 8, 4, 0, 2, 16, 16, 0, 0, 4, 8, 0, 0, 0, 0]",up,16
30,138,"[2, 0, 0, 0, 0, 0, 8, 4, 0, 0, 16, 16, 0, 4, 4, 8]",down,16
31,138,"[2, 4, 8, 4, 0, 2, 16, 16, 0, 0, 4, 8, 0, 0, 0, 0]",up,16
32,138,"[0, 0, 0, 0, 0, 2, 8, 4, 0, 4, 16, 16, 2, 2, 4, 8]",down,16
33,174,"[0, 0, 0, 0, 2, 8, 4, 0, 4, 32, 2, 0, 4, 4, 8, 0]",left,32
34,182,"[2, 8, 4, 0, 8, 32, 2, 0, 2, 4, 8, 0, 0, 0, 0, 0]",up,32
35,182,"[0, 2, 8, 4, 0, 8, 32, 2, 4, 2, 4, 8, 0, 0, 0, 0]",right,32
36,182,"[2, 8, 4, 0, 8, 32, 2, 0, 4, 2, 4, 8, 0, 2, 0, 0]",left,32
37,182,"[0, 2, 8, 4, 0, 8, 32, 2, 4, 2, 4, 8, 2, 0, 0, 2]",right,32
38,186,"[0, 2, 8, 4, 0, 8, 32, 2, 4, 2, 4, 8, 4, 0, 0, 4]",right,32
39,194,"[2, 8, 4, 0, 8, 32, 2, 0, 4, 2, 4, 8, 8, 2, 0, 0]",left,32
40,198,"[2, 8, 4, 8, 8, 32, 2, 0, 4, 4, 4, 2, 8, 0, 0, 0]",up,32
41,198,"[2, 8, 4, 8, 8, 32, 2, 2, 4, 4, 4, 0, 8, 0, 4, 0]",up,32
42,210,"[2, 8, 4, 8, 8, 32, 4, 0, 8, 4, 0, 0, 8, 4, 2, 0]",left,32
43,242,"[2, 8, 8, 8, 16, 32, 2, 0, 8, 8, 2, 0, 0, 0, 0, 0]",up,32
44,274,"[2, 16, 8, 2, 16, 32, 2, 0, 16, 2, 0, 0, 0, 0, 0, 0]",left,32
45,290,"[0, 0, 4, 0, 0, 16, 0, 0, 2, 32, 8, 0, 32, 2, 2, 2]",down,32
46,294,"[2, 0, 0, 4, 0, 0, 0, 16, 0, 2, 32, 8, 0, 32, 2, 4]",right,32
47,294,"[0, 0, 0, 4, 0, 2, 0, 16, 0, 2, 32, 8, 2, 32, 2, 4]",down,32
48,298,"[2, 4, 32, 4, 2, 32, 2, 16, 0, 0, 0, 8, 0, 0, 0, 4]",up,32
49,300,"[0, 0, 2, 4, 0, 0, 0, 16, 0, 4, 32, 8, 4, 32, 2, 4]",down,32
50,300,"[0, 2, 0, 4, 0, 0, 2, 16, 0, 4, 32, 8, 4, 32, 2, 4]",down,32
51,300,"[0, 2, 2, 4, 0, 0, 2, 16, 0, 4, 32, 8, 4, 32, 2, 4]",right,32
52,302,"[0, 0, 0, 4, 2, 2, 4, 16, 0, 4, 32, 8, 4, 32, 2, 4]",down,32
53,306,"[0, 0, 0, 4, 2, 4, 4, 16, 0, 4, 32, 8, 4, 32, 2, 4]",right,32
54,314,"[0, 0, 0, 4, 2, 2, 8, 16, 0, 4, 32, 8, 4, 32, 2, 4]",right,32
55,314,"[0, 2, 0, 4, 0, 2, 8, 16, 2, 4, 32, 8, 4, 32, 2, 4]",down,32
56,314,"[2, 4, 0, 2, 2, 8, 16, 0, 2, 4, 32, 8, 4, 32, 2, 4]",left,32
57,314,"[2, 2, 4, 2, 0, 2, 8, 16, 2, 4, 32, 8, 4, 32, 2, 4]",right,32
58,318,"[0, 2, 4, 2, 0, 4, 8, 16, 4, 4, 32, 8, 4, 32, 2, 4]",down,32
59,334,"[8, 2, 4, 2, 2, 8, 8, 16, 0, 32, 32, 8, 0, 0, 2, 4]",up,32
60,334,"[4, 0, 4, 2, 0, 2, 8, 16, 8, 8, 32, 8, 2, 32, 2, 4]",down,32
61,334,"[2, 0, 4, 2, 4, 2, 8, 16, 8, 8, 32, 8, 2, 32, 2, 4]",down,32
62,350,"[2, 2, 4, 2, 4, 2, 8, 16, 0, 16, 32, 8, 2, 32, 2, 4]",right,32
63,354,"[2, 4, 4, 2, 4, 2, 8, 16, 0, 16, 32, 8, 2, 32, 2, 4]",right,32
64,354,"[2, 4, 4, 2, 4, 2, 8, 16, 2, 16, 32, 8, 2, 32, 2, 4]",up,32
65,356,"[2, 4, 4, 2, 2, 2, 8, 16, 4, 16, 32, 8, 4, 32, 2, 4]",down,32
66,368,"[4, 4, 4, 2, 8, 2, 8, 16, 0, 16, 32, 8, 2, 32, 2, 4]",up,32
67,376,"[8, 4, 2, 0, 8, 2, 8, 16, 16, 32, 8, 2, 2, 32, 2, 4]",left,32
68,376,"[4, 8, 4, 2, 8, 2, 8, 16, 16, 32, 8, 2, 2, 32, 2, 4]",right,32
69,456,"[4, 8, 4, 2, 8, 2, 16, 16, 16, 64, 2, 2, 2, 0, 2, 4]",up,64
70,496,"[4, 8, 4, 2, 0, 8, 2, 32, 0, 16, 64, 4, 0, 4, 4, 4]",right,64
71,508,"[0, 0, 4, 0, 2, 16, 2, 2, 0, 16, 64, 32, 4, 4, 4, 8]",down,64
72,520,"[2, 0, 0, 4, 0, 2, 16, 4, 0, 16, 64, 32, 0, 4, 8, 8]",right,64
73,536,"[4, 0, 2, 4, 0, 2, 16, 4, 0, 16, 64, 32, 0, 0, 4, 16]",right,64
74,544,"[4, 2, 2, 8, 2, 16, 16, 32, 0, 0, 64, 16, 0, 0, 4, 0]",up,64
75,580,"[0, 4, 4, 8, 2, 2, 32, 32, 0, 0, 64, 16, 0, 0, 0, 4]",right,64
76,656,"[8, 8, 0, 0, 4, 64, 0, 2, 64, 16, 0, 0, 4, 0, 0, 0]",left,64
77,656,"[8, 8, 0, 2, 4, 64, 0, 0, 64, 16, 0, 0, 4, 0, 0, 2]",up,64
78,658,"[8, 2, 0, 0, 4, 8, 0, 0, 64, 64, 0, 0, 4, 16, 0, 4]",down,64
79,786,"[8, 2, 0, 2, 4, 8, 0, 0, 128, 0, 0, 0, 4, 16, 4, 0]",left,128
80,786,"[8, 2, 4, 2, 4, 8, 0, 0, 128, 16, 0, 0, 4, 2, 0, 0]",up,128
81,786,"[8, 2, 4, 2, 0, 0, 4, 8, 2, 0, 128, 16, 0, 0, 4, 2]",right,128
82,786,"[8, 2, 4, 2, 4, 8, 0, 0, 2, 128, 16, 2, 4, 2, 0, 0]",left,128
83,786,"[8, 2, 4, 2, 2, 0, 4, 8, 2, 128, 16, 2, 0, 0, 4, 2]",right,128
84,794,"[0, 0, 0, 2, 0, 0, 8, 2, 8, 2, 16, 8, 4, 128, 4, 4]",down,128
85,798,"[8, 2, 8, 4, 4, 128, 16, 8, 0, 0, 4, 4, 0, 2, 0, 0]",up,128
86,798,"[0, 0, 0, 2, 0, 2, 8, 4, 8, 128, 16, 8, 4, 2, 4, 4]",down,128
87,806,"[2, 4, 0, 0, 2, 8, 4, 0, 8, 128, 16, 8, 4, 2, 8, 0]",left,128
88,810,"[4, 4, 4, 8, 8, 8, 16, 0, 4, 128, 8, 0, 0, 2, 0, 2]",up,128
89,810,"[0, 4, 0, 0, 4, 8, 4, 2, 8, 128, 16, 8, 4, 2, 8, 2]",down,128
90,810,"[4, 4, 4, 2, 8, 8, 16, 8, 4, 128, 8, 2, 2, 2, 0, 0]",up,128
91,838,"[0, 4, 8, 2, 0, 16, 16, 8, 4, 128, 8, 2, 0, 2, 0, 4]",right,128
92,870,"[0, 4, 8, 2, 0, 2, 32, 8, 4, 128, 8, 2, 0, 0, 2, 4]",right,128
93,870,"[4, 8, 2, 0, 2, 32, 8, 2, 4, 128, 8, 2, 2, 4, 0, 0]",left,128
94,890,"[4, 8, 2, 4, 2, 32, 16, 0, 4, 128, 0, 2, 2, 4, 0, 0]",up,128
95,890,"[4, 8, 2, 4, 2, 32, 16, 0, 4, 128, 2, 2, 2, 4, 0, 0]",left,128
96,890,"[4, 8, 2, 4, 2, 32, 16, 2, 4, 128, 2, 2, 2, 4, 0, 0]",up,128
97,894,"[4, 8, 2, 4, 2, 32, 16, 2, 4, 128, 4, 0, 2, 4, 4, 0]",left,128
98,898,"[4, 8, 0, 0, 2, 32, 2, 2, 4, 128, 16, 4, 2, 4, 8, 2]",down,128
99,898,"[4, 8, 2, 2, 2, 32, 16, 4, 4, 128, 8, 2, 2, 4, 2, 0]",up,128
100,902,"[0, 4, 8, 4, 2, 32, 16, 4, 4, 128, 8, 2, 2, 2, 4, 2]",right,128
101,906,"[2, 4, 8, 4, 2, 32, 16, 4, 4, 128, 8, 2, 0, 4, 4, 2]",right,128
102,922,"[4, 4, 8, 8, 4, 32, 16, 4, 0, 128, 8, 0, 0, 4, 4, 4]",up,128
103,938,"[8, 4, 8, 8, 0, 32, 16, 8, 0, 128, 8, 0, 0, 4, 4, 2]",up,128
104,946,"[0, 4, 8, 0, 0, 32, 16, 2, 0, 128, 8, 16, 8, 4, 4, 2]",down,128
105,954,"[0, 0, 4, 8, 0, 32, 16, 2, 0, 128, 8, 16, 2, 8, 8, 2]",right,128
106,970,"[2, 32, 4, 8, 0, 128, 16, 2, 2, 8, 16, 16, 0, 0, 0, 2]",up,128
107,1002,"[2, 32, 4, 8, 128, 16, 2, 0, 2, 8, 32, 0, 2, 0, 0, 2]",left,128
108,1006,"[2, 32, 4, 8, 0, 128, 16, 2, 0, 2, 8, 32, 2, 0, 0, 4]",right,128
109,1006,"[2, 32, 4, 8, 0, 128, 16, 2, 0, 2, 8, 32, 4, 0, 2, 4]",right,128
110,1006,"[2, 32, 4, 8, 128, 16, 2, 2, 2, 8, 32, 0, 4, 2, 4, 0]",left,128
111,1006,"[2, 32, 4, 2, 128, 16, 2, 0, 2, 8, 32, 8, 4, 2, 4, 2]",down,128
112,1006,"[2, 32, 4, 2, 128, 16, 2, 2, 2, 8, 32, 8, 4, 2, 4, 2]",down,128
113,1010,"[2, 32, 4, 2, 2, 128, 16, 4, 2, 8, 32, 8, 4, 2, 4, 2]",right,128
114,1014,"[4, 32, 4, 2, 2, 128, 16, 4, 4, 8, 32, 8, 2, 2, 4, 2]",up,128
115,1018,"[4, 32, 4, 2, 2, 128, 16, 4, 4, 8, 32, 8, 4, 4, 2, 2]",left,128
116,1022,"[2, 32, 4, 2, 4, 128, 16, 4, 2, 8, 32, 8, 8, 4, 2, 2]",down,128
117,1026,"[2, 32, 4, 2, 4, 128, 16, 4, 2, 8, 32, 8, 8, 4, 4, 2]",left,128
118,1034,"[2, 32, 4, 2, 4, 128, 16, 4, 2, 8, 32, 8, 4, 8, 8, 2]",right,128
119,1050,"[2, 32, 4, 2, 4, 128, 16, 4, 2, 8, 32, 8, 2, 4, 16, 2]",right,128
120,1052,"[2, 32, 4, 2, 2, 128, 16, 4, 4, 8, 32, 8, 4, 4, 16, 2]",down,128
121,1064,"[4, 32, 4, 2, 8, 128, 16, 4, 0, 8, 32, 8, 2, 4, 16, 2]",up,128
122,1064,"[2, 32, 4, 2, 4, 128, 16, 4, 8, 8, 32, 8, 2, 4, 16, 2]",down,128
123,1080,"[2, 32, 4, 2, 4, 128, 16, 4, 2, 16, 32, 8, 2, 4, 16, 2]",right,128
124,1084,"[2, 32, 4, 2, 4, 128, 16, 4, 4, 16, 32, 8, 2, 4, 16, 2]",up,128
125,1088,"[2, 32, 4, 2, 2, 128, 16, 4, 8, 16, 32, 8, 2, 4, 16, 2]",down,128
126,1090,"[2, 32, 4, 2, 4, 128, 16, 4, 8, 16, 32, 8, 2, 4, 16, 2]",down,128
