Move,Score,Matrix,Previous_Move
44,198,"[4, 8, 4, 2, 2, 16, 2, 0, 32, 4, 8, 0, 4, 2, 8, 2]",left,32
45,198,"[4, 8, 4, 2, 0, 2, 16, 2, 2, 32, 4, 8, 4, 2, 8, 2]",right,32
46,200,"[2, 8, 4, 0, 4, 2, 16, 4, 2, 32, 4, 8, 4, 2, 8, 2]",down,32
47,200,"[2, 8, 4, 4, 4, 2, 16, 8, 2, 32, 4, 2, 4, 2, 8, 2]",up,32
48,208,"[2, 8, 8, 2, 4, 2, 16, 8, 2, 32, 4, 2, 4, 2, 8, 2]",left,32
49,224,"[2, 16, 2, 4, 4, 2, 16, 8, 2, 32, 4, 2, 4, 2, 8, 2]",left,32
50,228,"[2, 16, 2, 4, 4, 2, 16, 8, 2, 32, 4, 4, 4, 2, 8, 2]",up,32
51,236,"[2, 16, 2, 4, 4, 2, 16, 8, 2, 2, 32, 8, 4, 2, 8, 2]",right,32
52,240,"[2, 16, 2, 4, 4, 2, 16, 8, 4, 32, 8, 4, 4, 2, 8, 2]",left,32
53,264,"[2, 16, 2, 4, 8, 2, 16, 8, 4, 32, 16, 4, 0, 2, 2, 2]",up,32
54,268,"[2, 16, 2, 4, 8, 2, 16, 8, 4, 32, 16, 4, 0, 2, 2, 4]",right,32
55,272,"[2, 16, 2, 4, 8, 2, 16, 8, 4, 32, 16, 4, 4, 4, 0, 2]",left,32
56,292,"[0, 16, 0, 4, 2, 2, 2, 8, 8, 32, 2, 4, 8, 4, 32, 2]",down,32
57,302,"[0, 16, 0, 4, 0, 2, 2, 8, 2, 32, 4, 4, 16, 4, 32, 2]",down,32
58,314,"[0, 2, 16, 4, 0, 0, 4, 8, 0, 2, 32, 8, 16, 4, 32, 2]",right,32
59,314,"[2, 16, 4, 2, 4, 8, 0, 0, 2, 32, 8, 0, 16, 4, 32, 2]",left,32
60,314,"[2, 16, 4, 2, 2, 0, 4, 8, 0, 2, 32, 8, 16, 4, 32, 2]",right,32
61,314,"[2, 16, 4, 2, 2, 4, 8, 2, 2, 32, 8, 0, 16, 4, 32, 2]",left,32
62,338,"[4, 16, 4, 4, 2, 4, 16, 2, 16, 32, 32, 4, 0, 4, 0, 0]",up,32
63,338,"[0, 16, 0, 4, 4, 4, 4, 4, 2, 32, 16, 2, 16, 4, 32, 4]",down,32
64,354,"[0, 2, 16, 4, 0, 0, 8, 8, 2, 32, 16, 2, 16, 4, 32, 4]",right,32
65,354,"[0, 0, 16, 4, 2, 2, 8, 8, 2, 32, 16, 2, 16, 4, 32, 4]",down,32
66,374,"[2, 0, 16, 4, 0, 0, 4, 16, 2, 32, 16, 2, 16, 4, 32, 4]",right,32
67,378,"[4, 32, 16, 4, 16, 4, 4, 16, 2, 0, 16, 2, 0, 0, 32, 4]",up,32
68,386,"[4, 32, 16, 4, 0, 16, 8, 16, 2, 2, 16, 2, 0, 0, 32, 4]",right,32
69,390,"[4, 32, 16, 4, 16, 8, 16, 0, 4, 16, 2, 0, 32, 4, 0, 2]",left,32
70,422,"[4, 32, 32, 4, 16, 8, 2, 2, 4, 16, 0, 0, 32, 4, 2, 0]",up,32
71,426,"[4, 32, 32, 4, 16, 8, 4, 2, 4, 16, 2, 0, 32, 4, 0, 0]",up,32
72,490,"[0, 4, 64, 4, 16, 8, 4, 2, 0, 4, 16, 2, 2, 0, 32, 4]",right,64
73,494,"[16, 4, 64, 4, 2, 8, 4, 4, 0, 4, 16, 4, 2, 0, 32, 0]",up,64
74,500,"[0, 0, 64, 0, 0, 4, 4, 2, 16, 8, 16, 4, 4, 4, 32, 8]",down,64
75,500,"[16, 4, 64, 2, 4, 8, 4, 4, 0, 4, 16, 8, 0, 4, 32, 0]",up,64
76,508,"[16, 4, 64, 2, 4, 8, 4, 4, 0, 8, 16, 8, 0, 0, 32, 2]",up,64
77,516,"[2, 0, 64, 2, 0, 0, 4, 4, 16, 4, 16, 8, 4, 16, 32, 2]",down,64
78,524,"[2, 2, 64, 2, 0, 0, 0, 8, 16, 4, 16, 8, 4, 16, 32, 2]",right,64
79,540,"[2, 2, 64, 2, 16, 4, 16, 16, 4, 16, 32, 2, 0, 0, 0, 2]",up,64
80,544,"[2, 2, 64, 2, 16, 4, 16, 16, 4, 16, 32, 4, 0, 0, 2, 0]",up,64
81,544,"[0, 2, 64, 0, 2, 2, 16, 2, 16, 4, 32, 16, 4, 16, 2, 4]",down,64
82,546,"[2, 0, 64, 0, 2, 4, 16, 2, 16, 4, 32, 16, 4, 16, 2, 4]",down,64
